epoch, sum_loss, avg_loss, val_loss, val_acc, train_acc, total_time
1, 8835.158351778984, 0.5890105567852656, 0.1072254553437233, 0.9659000039100647, 0.9630166888237, 48.044939041137695
2, 4847.131796717644, 0.32314211978117624, 0.08865845203399658, 0.9721999764442444, 0.9711666703224182, 108.90274143218994
3, 4318.536349743605, 0.28790242331624033, 0.115321084856987, 0.9666999578475952, 0.9687166810035706, 154.77010869979858
4, 3761.963071078062, 0.25079753807187083, 0.10046644508838654, 0.9720999598503113, 0.9737666845321655, 216.39097332954407
5, 5173.795809239149, 0.3449197206159433, 0.13182172179222107, 0.9607999920845032, 0.9591833353042603, 262.5134983062744
6, 4461.3019152879715, 0.2974201276858648, 0.1055748388171196, 0.967199981212616, 0.9672166705131531, 324.26894760131836
7, 3384.566240608692, 0.22563774937391282, 0.124526247382164, 0.9639999866485596, 0.9661499857902527, 370.9084062576294
8, 3463.860442429781, 0.23092402949531873, 0.1032065823674202, 0.9699999690055847, 0.9695833325386047, 432.1479616165161
9, 3658.6772003769875, 0.24391181335846582, 0.10927153378725052, 0.968999981880188, 0.969700038433075, 478.4627754688263
10, 4366.1818135380745, 0.29107878756920497, 0.2114938497543335, 0.937999963760376, 0.9364833235740662, 540.2737703323364
11, 4877.894307643175, 0.32519295384287833, 0.09667336940765381, 0.9702000021934509, 0.9680166840553284, 586.7378289699554
12, 3636.06908506155, 0.24240460567077002, 0.1531894952058792, 0.9578999876976013, 0.9522500038146973, 647.9944186210632
13, 3054.499434888363, 0.2036332956592242, 0.12407442927360535, 0.962399959564209, 0.963783323764801, 694.1473400592804
14, 2400.737244129181, 0.16004914960861205, 0.15047061443328857, 0.9575999975204468, 0.9579499959945679, 756.0511846542358
15, 2518.629469037056, 0.16790863126913708, 0.12088091671466827, 0.9716999530792236, 0.9736000299453735, 802.7301678657532
16, 5408.805362433195, 0.360587024162213, 0.22030788660049438, 0.9608999490737915, 0.9584500193595886, 864.5412700176239
17, 5291.4262245595455, 0.3527617483039697, 0.22705930471420288, 0.9533999562263489, 0.9506333470344543, 910.2864906787872
18, 3652.65997967124, 0.243510665311416, 0.21767400205135345, 0.9538999795913696, 0.9529833197593689, 971.7186424732208
19, 2946.387799322605, 0.19642585328817366, 0.20920783281326294, 0.9514999985694885, 0.9548333287239075, 1018.1000771522522
20, 2524.2761548757553, 0.16828507699171702, 0.2480895221233368, 0.9495999813079834, 0.9506666660308838, 1080.3397080898285
21, 2456.4023860991, 0.16376015907327335, 0.1961897611618042, 0.9457999467849731, 0.9455666542053223, 1126.7450618743896
