DATASET,OPTIMIZER,LOSS,MINI-BATCH SIZE,LEARNING RATE,TRAINING LOSS,TRAINING ACCURACY,TRAINING F1,VALIDATION LOSS,VALIDATION ACCURACY,VALIDATION F1,TOTAL TRAINING TIME,TEST LOSS,TEST ACCURACY,TEST F1,CONVERGED AT EPOCH
fashion_mnist,sgd,mse,1,0.05,0.020561000473324917,0.7955555555555556,0.7448691177861105,0.05380156263709068,0.57,0.5089453172573378,365.01332116127014,0.049149222671985626,0.614,0.5629259161381345,0.0022222222222222222
fashion_mnist,sgd,mse,1,0.08340502686000296,0.0401129840072784,0.6977777777777778,0.6356822413876645,0.061440519988536835,0.57,0.4980720092915215,364.4994566440582,0.06300552189350128,0.55,0.48067487278108206,0.0022222222222222222
fashion_mnist,sgd,mse,1,0.1391279701103562,0.011667600612089834,0.9811111111111112,0.9811822302421584,0.03750424459576607,0.8,0.7960027786858448,367.673122882843,0.040705543011426926,0.773,0.7712486013263742,0.0022222222222222222
fashion_mnist,sgd,mse,1,0.23207944168063888,0.010778487550994463,0.8922222222222222,0.8600933727384407,0.03487742692232132,0.75,0.7159310004194914,365.8183434009552,0.03637731447815895,0.738,0.7081410798899659,0.0022222222222222222
fashion_mnist,sgd,mse,1,0.38713184134056344,0.030846697319762872,0.6922222222222222,0.6354514793383075,0.04971921816468239,0.58,0.5358256323383376,367.2439715862274,0.05703999102115631,0.547,0.49917791391041855,0.03777777777777778
fashion_mnist,sgd,mse,1,0.6457748325074419,0.0901111339624124,0.1,0.01818181818181818,0.09279198199510574,0.1,0.018181818181818184,530.6197462081909,0.09215469658374786,0.1,0.018198362147406735,0.014444444444444444
fashion_mnist,sgd,mse,1,1.0772173450159417,0.10000000149011612,0.1,0.01818181818181818,0.10000000149011612,0.1,0.018181818181818184,522.5887372493744,0.10000000149011612,0.1,0.018181818181818184,0.0033333333333333335
fashion_mnist,sgd,mse,1,1.796906831902313,0.10000000149011612,0.1,0.01818181818181818,0.10000000149011612,0.1,0.018181818181818184,525.2709789276123,0.10000000149011612,0.1,0.018181818181818184,0.18333333333333332
fashion_mnist,sgd,mse,1,2.9974212515947047,0.10000000149011612,0.1,0.01818181818181818,0.10000000149011612,0.1,0.018181818181818184,520.8448922634125,0.10000000149011612,0.1,0.018181818181818184,0.0022222222222222222
fashion_mnist,sgd,mse,1,5.0,0.10000000149011612,0.1,0.01818181818181818,0.10000000149011612,0.1,0.018181818181818184,366.2823829650879,0.10000000149011612,0.1,0.018181818181818184,0.0022222222222222222
fashion_mnist,sgd,mse,2,0.05,0.087054832137898,0.31444444444444447,0.2827970520138832,0.20690199732780457,0.36,0.3428245026387441,388.4566767215729,0.2731533944606781,0.317,0.2850109442895652,0.0044444444444444444
fashion_mnist,sgd,mse,2,0.08340502686000296,0.09988889037734933,0.10111111111111111,0.020594324686396298,0.10313253849744797,0.1,0.01904761904761905,389.6413083076477,0.10259489715099335,0.102,0.022472541839232755,0.035555555555555556
fashion_mnist,sgd,mse,2,0.1391279701103562,0.10000000149011612,0.10111111111111111,0.023106402521101556,0.11172172427177429,0.1,0.0198019801980198,388.0779902935028,0.14940449595451355,0.103,0.024504186372394463,100.0
fashion_mnist,sgd,mse,2,0.23207944168063888,0.10000000149011612,0.10444444444444445,0.026753741339587103,0.10306476801633835,0.11,0.03553459119496855,388.1078407764435,0.10228629410266876,0.103,0.024009147318852453,100.0
fashion_mnist,sgd,mse,2,0.38713184134056344,,0.1,0.01818181818181818,,0.1,0.018181818181818184,389.47202801704407,,0.1,0.018181818181818184,0.013333333333333334
fashion_mnist,sgd,mse,2,0.6457748325074419,,0.1,0.01818181818181818,,0.1,0.018181818181818184,388.5359876155853,,0.1,0.018181818181818184,0.0044444444444444444
fashion_mnist,sgd,mse,2,1.0772173450159417,,0.1,0.01818181818181818,,0.1,0.018181818181818184,390.3974120616913,,0.1,0.018181818181818184,0.006666666666666667
fashion_mnist,sgd,mse,2,1.796906831902313,,0.1,0.01818181818181818,,0.1,0.018181818181818184,387.2749857902527,,0.1,0.018181818181818184,0.006666666666666667
fashion_mnist,sgd,mse,2,2.9974212515947047,,0.1,0.01818181818181818,,0.1,0.018181818181818184,390.4051287174225,,0.1,0.018181818181818184,0.0044444444444444444
fashion_mnist,sgd,mse,2,5.0,,0.1,0.01818181818181818,,0.1,0.018181818181818184,392.3214375972748,,0.1,0.018181818181818184,100.0
fashion_mnist,sgd,mse,3,0.05,0.017720560071617607,0.6833333333333333,0.6668355059455449,0.10619010031223297,0.59,0.57255132344969,191.37366795539856,0.1001741886138916,0.657,0.6443300719180637,0.006666666666666667
fashion_mnist,sgd,mse,3,0.08340502686000296,0.08419691068430742,0.2677777777777778,0.19974231466544407,0.10246393829584122,0.26,0.1857042182623578,192.38497686386108,0.10474053770303726,0.251,0.1868247344273298,0.006666666666666667
fashion_mnist,sgd,mse,3,0.1391279701103562,0.09071504468719165,0.2288888888888889,0.18221124837435607,0.0965179055929184,0.23,0.1681318681318681,191.4363477230072,0.0983392670750618,0.203,0.1571487464969492,0.006666666666666667
fashion_mnist,sgd,mse,3,0.23207944168063888,0.10000000149011612,0.10111111111111111,0.020697288323187603,0.10258597880601883,0.1,0.018691588785046728,190.54152083396912,0.16522736847400665,0.102,0.022309019892814974,0.02666666666666667
fashion_mnist,sgd,mse,3,0.38713184134056344,0.10000000149011612,0.1,0.018274111675126905,0.1002272441983223,0.1,0.01834862385321101,240.03284120559692,0.20650047063827515,0.1,0.018281535648994516,0.016666666666666666
