DATASET,OPTIMIZER,LOSS,ELLIPSE CENTER X,ELLIPSE CENTER Y,ELLIPSE DIAMETER X,ELLIPSE DIAMETER Y
circle,sgd,mse,-0.034065403044223785,-0.037646785378456116,4.096777373552323,4.0887170970439914
circle,sgd,cross_entropy,-0.05336713790893555,0.0036859007086604834,4.333526730537413,4.569208484888077
circle,adam,mse,0.015101038850843906,-0.0708676353096962,7.015748095512389,6.722294437885283
circle,adam,cross_entropy,-0.013957545161247253,0.17850174009799957,6.524926000833512,6.643933814764023
circle,sgd_to_half,mse,-0.0704425573348999,0.020211324095726013,2.8860644757747638,2.9074347436428063
circle,sgd_to_half,cross_entropy,0.005043933633714914,0.060970157384872437,4.528907299041748,4.313292729854583
